Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item Category,Close Amount,Disposition
2.01405E+12,9-May-14,22-Feb-14,MCO,Orlando International Airport,Southwest Airlines  ,Property Damage,Checkpoint,Jewelry & Watches; Personal Accessories,964.98,Settle
2.01405E+12,12-May-14,5-May-14,DFW,Dallas-Fort Worth International Airport ,American Airlines  ,Property Damage,Checked Baggage,Musical Instruments & Accessories,0.00,Deny
2.01405E+12,7-May-14,26-Apr-14,MSP,Minneapolis/ St.Paul International Airport,USAir  ,Passenger Property Loss,Checked Baggage,Crafting & Hobby,0.00,Deny
2.01405E+12,7-May-14,23-Apr-14,SAN,San Diego International,Japan Airlines  ,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
2.01405E+12,12-May-14,7-May-14,JFK,John F. Kennedy International,British Airways  ,Passenger Property Loss,Checked Baggage,Other,0.00,Deny
2.01405E+12,13-May-14,24-Apr-14,TTN,Trenton-Mercer,Frontier Airlines,Property Damage,Checked Baggage,Food & Drink,0.00,Deny
2.01405E+12,12-May-14,26-Apr-14,MIA,Miami International Airport,American Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2.01405E+12,9-May-14,25-Jan-14,ORD,Chicago O'Hare International Airport,British Airways  ,Passenger Property Loss,Checkpoint,Tools & Home Improvement Supplies,200.00,Approve in Full
2.01405E+12,13-May-14,5-Apr-14,LAX,Los Angeles International Airport ,American Airlines  ,Property Damage,Checkpoint,Personal Electronics,925.41,Approve in Full
2.01405E+12,13-May-14,4-May-14,MDW,Midway International Airport,Southwest Airlines  ,Property Damage,Checkpoint,Computer & Accessories,-,-
2.01405E+12,13-May-14,3-May-14,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Property Damage,Checkpoint,-,119.38,Settle
2.01405E+12,13-May-14,5-May-14,LAS,McCarran International,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,0.00,Deny
2.01405E+12,12-May-14,26-May-13,YNG,Youngstown-Warren Regional,Allegiant Air,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,13-May-14,3-May-14,HNL,Honolulu International Airport,Hawaiian Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,0.00,Deny
2.01405E+12,13-May-14,5-May-14,LAX,Los Angeles International Airport ,Jet Blue,Passenger Property Loss,Checked Baggage,Cosmetics & Grooming,20.19,Approve in Full
2.01405E+12,12-May-14,21-Apr-14,MIA,Miami International Airport,American Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses; Clothing,-,-
2.01405E+12,13-May-14,28-Apr-14,MCO,Orlando International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,Clothing,0.00,Deny
2.01405E+12,14-May-14,24-Apr-14,LAX,Los Angeles International Airport ,Lufthansa  ,Passenger Property Loss,Checked Baggage,Other,-,-
2.01405E+12,16-May-14,1-Jan-14,IAH,Houston - George Bush Intercontinental Airport,UAL  ,Passenger Property Loss,Checked Baggage,Travel Accessories,10.64,Approve in Full
2.01405E+12,13-May-14,24-Apr-14,OAK,Metropolitan Oakland International,Delta Air Lines  ,Passenger Property Loss,Checkpoint,Personal Accessories,0.00,Deny
2.01405E+12,13-May-14,16-Apr-14,EWR,Newark International Airport,British Airways  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,13-May-14,13-Apr-14,HOU,William P. Hobby,Southwest Airlines  ,Property Damage,Checked Baggage,Other,0.00,Deny
2.01405E+12,13-May-14,11-May-14,MDW,Midway International Airport,Southwest Airlines  ,Property Damage,Checked Baggage,Clothing,486.19,Settle
2.01405E+12,13-May-14,30-Apr-14,ORD,Chicago O'Hare International Airport,Air Berlin,Passenger Property Loss,Checked Baggage,Tools & Home Improvement Supplies,64.47,Settle
2.01405E+12,13-May-14,23-Mar-14,PSP,Palm Springs International,Alaska Airlines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,199.99,Approve in Full
2.01405E+12,16-May-14,7-May-14,MCO,Orlando International Airport,Delta Air Lines  ,Passenger Property Loss,Checked Baggage,-,-,-
2.01405E+12,12-May-14,1-May-14,PIE,St. Petersburg-Clearwater International,Allegiant Air,Property Damage,Checkpoint,Personal Electronics,307.33,Settle
2.01405E+12,12-May-14,1-Feb-14,JFK,John F. Kennedy International,Iceland Air  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,12-May-14,4-May-14,PHL,Philadelphia International Airport,USAir  ,Property Damage,Checked Baggage,Clothing,229.53,Approve in Full
2.01405E+12,12-May-14,2-May-14,JFK,John F. Kennedy International,Virgin Atlantic,Passenger Property Loss,Checked Baggage,Audio/Video,291.04,Settle
2.01405E+12,9-May-14,15-Apr-14,FLL,Ft. Lauderdale-Hollywood International,Delta Air Lines  ,Property Damage,Checkpoint,Clothing,-,-
2.01405E+12,12-May-14,9-May-14,BOI,Boise Air Terminal/Gowen Field,UAL  ,Passenger Property Loss,Checked Baggage,Clothing,-,-
2.01405E+12,12-May-14,20-Apr-14,MCO,Orlando International Airport,British Airways  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,12-May-14,6-May-14,SJC,Norman Y Mineta San Jose International,UAL  ,Property Damage,Checked Baggage,Travel Accessories,0.00,Deny
2.01405E+12,12-May-14,11-May-14,TPA,Tampa International,Southwest Airlines  ,Passenger Property Loss,Checkpoint,Computer & Accessories,-,-
2.01405E+12,12-May-14,24-Apr-14,MIA,Miami International Airport,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,-,-
2.01405E+12,12-May-14,2-May-14,EWR,Newark International Airport,UAL  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,-,-
2.01405E+12,13-May-14,19-Apr-14,FWA,Ft. Wayne Municipal- Baer Field,American Airlines  ,Passenger Property Loss,Checked Baggage,Travel Accessories,11.06,Approve in Full
2.01405E+12,13-May-14,20-Apr-14,HSV,Huntsville International Airport,Delta Air Lines  ,Property Damage,Checkpoint,Baggage/Cases/Purses,75.00,Approve in Full
2.01405E+12,14-May-14,9-May-14,IAD,Washington Dulles International,UAL  ,Property Damage,Checkpoint,Computer & Accessories,0.00,Deny
2.01405E+12,12-May-14,29-Apr-14,PBI,Palm Beach International,Delta Air Lines  ,Property Damage,Checked Baggage,Baggage/Cases/Purses,0.00,Deny
2.01405E+12,14-May-14,23-Apr-14,TPA,Tampa International,Southwest Airlines  ,Property Damage,Checked Baggage,Household Items,0.00,Deny
2.01405E+12,12-May-14,2-May-14,RSW,Southwest Florida International,UAL  ,Property Damage,Checked Baggage,Sporting Equipment & Supplies,342.20,Settle
2.01405E+12,14-May-14,13-May-14,FLL,Ft. Lauderdale-Hollywood International,AirTran Airlines,Passenger Property Loss,Checked Baggage,Other,20.00,Approve in Full
2.01405E+12,12-May-14,10-Mar-14,STL,Lambert St. Louis International,Southwest Airlines  ,Passenger Property Loss,Checked Baggage,Jewelry & Watches,100.00,Settle
